"","AS","BA","BB","BC","CA","CR","FC","FV","GB","KC","MC","ML","OF","PC","PR","PT","SB","SC","SH","SL","TB","WC","WF","WH"
"PC",0.0790269970992861,0.0676867553843611,0.0100218270150285,0.0825777270310469,0.133986543987592,0.104680885267159,0.0765971811807903,0.0240636792392738,0.0785017581867844,0.141091005171704,0.0433310402837901,0.17691790610265,0.0296618494517428,NA,0.103414644654537,0.0390650517147524,0.00695471220352957,0.0499130968633577,0.0541125399427915,0.127371449434946,0.0717505658572966,0.0260317247719983,0.0637627197941443,0.103577946469134
"PR",0.03704560929464,0.141311917628286,0.111023578567615,0.0828319605477154,0.218195853994629,0.184484034708058,0.160543430589538,0.0849937678365875,0.0926204413703178,0.214963041641198,0.0989203457895988,0.251794156419756,0.0861198788395021,0.103414644654537,NA,0.0766491730075836,0.103571524240673,0.0720949050691401,0.150788775987619,0.106056705945163,0.0521475536494221,0.0999714284680954,0.0716596931659693,0.188006365965376
"PT",0.0460343706780332,0.0900936842250078,0.0469842598080808,0.0591333558691794,0.154791783230757,0.130739527875439,0.095015390816813,0.0395415442608801,0.075976322818162,0.166864909608175,0.0374734836816775,0.20480810196691,0.047274734991331,0.0390650517147524,0.0766491730075836,NA,0.0442014637626553,0.0519181775858052,0.0747085305321483,0.0956330431491297,0.0461561224807652,0.0458307913625721,0.050051901677462,0.123131565437169
"SB",0.0799641739953543,0.0656161971448413,0.0100430325318788,0.0856103655140607,0.132732915855556,0.103882219310469,0.0771095877727079,0.0234682937085891,0.0727775464668144,0.141819674856184,0.0465547039083634,0.176722601527588,0.0246576573540478,0.00695471220352957,0.103571524240673,0.0442014637626553,NA,0.044921971480105,0.0583577027608211,0.12976222067408,0.0755191461847843,0.0289198278459135,0.0607934227078696,0.106297380809001
"SC",0.0558222478886601,0.0958062002433436,0.04822755816248,0.0816828203674109,0.176446191949821,0.142795950649532,0.119417546890229,0.02768557966663,0.0675996369243116,0.177378172327346,0.0676691358059526,0.213563084750259,0.0362946022830706,0.0499130968633577,0.0720949050691401,0.0519181775858052,0.044921971480105,NA,0.10459589283387,0.117858813104586,0.0617063940460643,0.0531273007224038,0.0587806588086864,0.148875076467008
"SH",0.124426542100636,0.0808273914578185,0.0711624712729673,0.114365263439801,0.105053393041681,0.102402392020527,0.0384838794751763,0.0842716684005467,0.108007541561445,0.148930483697665,0.0404673508774453,0.179316120852005,0.0787237278705718,0.0541125399427915,0.150788775987619,0.0747085305321483,0.0583577027608211,0.10459589283387,NA,0.165167006085865,0.107462924189664,0.0678541469329343,0.0834893374572679,0.0631241506672704
"SL",0.0756244975348594,0.166889179849321,0.138543807879904,0.110676250787328,0.234043566462977,0.203408243649318,0.171585647045372,0.121127501682838,0.141081582808053,0.232533799732487,0.116865521073779,0.270334568766903,0.124693936775103,0.127371449434946,0.106056705945163,0.0956330431491297,0.12976222067408,0.117858813104586,0.165167006085865,NA,0.0874868565420139,0.130679885692246,0.0978903602032964,0.200117493746548
"TB",0.0317968497443643,0.101112525664196,0.0817352485773082,0.0440739907993307,0.169971820723642,0.140878122232499,0.118523378329779,0.0674749118967146,0.0740852740897308,0.175109209456473,0.0609173138976243,0.209268649095935,0.064612712794154,0.0717505658572966,0.0521475536494221,0.0461561224807652,0.0755191461847843,0.0617063940460643,0.107462924189664,0.0874868565420139,NA,0.0722493465502791,0.0470822235242136,0.145032419661059
"WC",0.0790111581127207,0.0685303344318733,0.0330119811208418,0.0803778057225777,0.138635431765059,0.106554202140524,0.0839346110484779,0.0338311071856217,0.072585133183621,0.143313213912837,0.0489767144338323,0.177839517500829,0.037975114253688,0.0260317247719983,0.0999714284680954,0.0458307913625721,0.0289198278459135,0.0531273007224038,0.0678541469329343,0.130679885692246,0.0722493465502791,NA,0.0662870543806742,0.109560505324666
"WF",0.0477951752343029,0.0813501721476903,0.0735520526138618,0.0682376076111305,0.12148282685095,0.106644215184836,0.0826830288639604,0.0618614171497646,0.0677514415887279,0.145897951537497,0.0469796581328796,0.17764391475536,0.0602654276178734,0.0637627197941443,0.0716596931659693,0.050051901677462,0.0607934227078696,0.0587806588086864,0.0834893374572679,0.0978903602032964,0.0470822235242136,0.0662870543806742,NA,0.103309546636094
"WH",0.1651656081362,0.0978461954122046,0.124522677539313,0.151000221202766,0.059410588378883,0.0919917981853957,0.0239102100365036,0.132071967442843,0.137038399214173,0.145689344375459,0.0821479985840972,0.169524948095708,0.127464867653261,0.103577946469134,0.188006365965376,0.123131565437169,0.106297380809001,0.148875076467008,0.0631241506672704,0.200117493746548,0.145032419661059,0.109560505324666,0.103309546636094,NA
