"","AS","BA","BB","BC","CA","CR","FC","FV","GB","KC","MC","ML","OF","PC","PR","PT","SB","SC","SH","SL","TB","WC","WF","WH"
"PC",0.0922621755800944,0.0755483580260264,0.0100395165152487,0.0971855339051207,0.154510303943857,0.123024863688193,0.0892159940003896,0.0257367209651435,0.0815062764832795,0.162808966158603,0.0432648228114809,0.206888980371973,0.031510884710711,NA,0.119781197301115,0.0434630769096803,0.00653003337249902,0.0537357375686332,0.0609755260252385,0.147043307491513,0.0836764597764322,0.0291063172941764,0.0692070222194862,0.121862203644192
"PR",0.0399914289302734,0.164058265583282,0.127801860707913,0.0939854317988758,0.260066764337966,0.215201537687217,0.188968019188577,0.0976320057011294,0.0975256793881375,0.250081683066982,0.109017126156367,0.296724031479429,0.096953192765205,0.119781197301115,NA,0.0885683573319559,0.118278942210775,0.0792834992937382,0.177469235100874,0.115145001085816,0.0541523460179515,0.115084563806732,0.0746165156842723,0.222190785866047
"PT",0.0537602567277801,0.104434075686692,0.0539998095519808,0.0695678365407678,0.184848177092765,0.154277979590481,0.110906461690948,0.0463425149828551,0.078153556856962,0.195753193703504,0.0379648300516079,0.242388968618218,0.0530287003957582,0.0434630769096803,0.0885683573319559,NA,0.0501720089857918,0.0587033289280047,0.0843998841031821,0.10905966500471,0.0514351632744163,0.0526466245039018,0.0559243737291487,0.145193421380937
"SB",0.0934304647802369,0.0750390983544128,0.00780399874428639,0.102439070653371,0.156404413091957,0.123073795775069,0.0909879118305805,0.0245118368888544,0.0786132144551766,0.165355812215573,0.0489244283662974,0.209289716619132,0.0260744162254726,0.00653003337249902,0.118278942210775,0.0501720089857918,NA,0.0497216371607297,0.0661936835971633,0.151397642991202,0.0877230415107291,0.0319731328413696,0.0681301995005466,0.125653130192044
"SC",0.0620685224879454,0.111271312790018,0.0517934624853547,0.097534652007102,0.210889327297798,0.167280270674486,0.141691055017894,0.0304136841886374,0.0717761692756624,0.207358781235839,0.0732435464853715,0.252928681042223,0.0387008938051847,0.0537357375686332,0.0792834992937382,0.0587033289280047,0.0497216371607297,NA,0.120929030034248,0.135223438847351,0.070010054905488,0.058949191778398,0.0674321701179158,0.177474169798529
"SH",0.147664049781652,0.0941550361201854,0.0805420017843354,0.137549100838918,0.112094346181629,0.117081270721137,0.0411627147743346,0.0963841619349046,0.121690182678069,0.174791158523737,0.0419056588579424,0.213873522243003,0.0899346084491749,0.0609755260252385,0.177469235100874,0.0843998841031821,0.0661936835971633,0.120929030034248,NA,0.194838718876021,0.127969340025606,0.0766989704874116,0.0932220883439703,0.0703034059176313
"SL",0.0813225523536512,0.196644531222883,0.16191820226882,0.127393446677328,0.282459316016817,0.239350130810309,0.204546017670287,0.140492724719201,0.157100419210811,0.27481538180534,0.130682589252353,0.323072995157349,0.141192459121876,0.147043307491513,0.115145001085816,0.10905966500471,0.151397642991202,0.135223438847351,0.194838718876021,NA,0.095024144258018,0.151548785888519,0.108214051483174,0.237700689054194
"TB",0.0311795303432744,0.120401258436646,0.0963621724582164,0.0498542840626453,0.207585433156248,0.1682050870943,0.142384034082974,0.078468852629698,0.0789858450296817,0.207750480628167,0.0662588455901559,0.252604738973251,0.0724923292061474,0.0836764597764322,0.0541523460179515,0.0514351632744163,0.0877230415107291,0.070010054905488,0.127969340025606,0.095024144258018,NA,0.0835906391834022,0.0513897630152559,0.174428307836507
"WC",0.0919699824349942,0.0773917691620795,0.034194132993806,0.0952319156752301,0.161211616030016,0.123358707793678,0.0977672141020656,0.0355579286240335,0.076718908445721,0.163842304849731,0.0527817222669445,0.207800633998159,0.0395564360008472,0.0291063172941764,0.115084563806732,0.0526466245039018,0.0319731328413696,0.058949191778398,0.0766989704874116,0.151548785888519,0.0835906391834022,NA,0.0729086507766096,0.128973317625891
"WF",0.0510748607579833,0.0910321643364106,0.083710334205924,0.07846148632038,0.139251822755461,0.121899628248465,0.094181132001121,0.0702782640172503,0.0750389179102326,0.166861689495243,0.0466479048603615,0.207399912028394,0.065806349951084,0.0692070222194862,0.0746165156842723,0.0559243737291487,0.0681301995005466,0.0674321701179158,0.0932220883439703,0.108214051483174,0.0513897630152559,0.0729086507766096,NA,0.117149325414366
"WH",0.197071314089472,0.112535426007417,0.148663967727375,0.181231254556933,0.0545958610091708,0.102937137304956,0.0259813247727375,0.1561074280897,0.158200968282379,0.168370596179561,0.093341546875839,0.197181676003308,0.149837028157683,0.121862203644192,0.222190785866047,0.145193421380937,0.125653130192044,0.177474169798529,0.0703034059176313,0.237700689054194,0.174428307836507,0.128973317625891,0.117149325414366,NA
