"V1","individual_id","population","q_1","lb_q_1","ub_q_1","q_2","lb_q_2","ub_q_2","q_3","lb_q_3","ub_q_3","q_4","lb_q_4","ub_q_4","Q_1_1","lb_Q_1_1","ub_Q_1_1","Q_2_1","lb_Q_2_1","ub_Q_2_1","Q_2_2","lb_Q_2_2","ub_Q_2_2","Q_3_1","lb_Q_3_1","ub_Q_3_1","Q_3_2","lb_Q_3_2","ub_Q_3_2","Q_3_3","lb_Q_3_3","ub_Q_3_3","Q_4_1","lb_Q_4_1","ub_Q_4_1","Q_4_2","lb_Q_4_2","ub_Q_4_2","Q_4_3","lb_Q_4_3","ub_Q_4_3","Q_4_4","lb_Q_4_4","ub_Q_4_4"
"PH_TB_12.sorted.bam","12","TB",0.010308,1e-06,0.037475,0.004699,0,0.023966,0.67401,0.637716,0.706231,0.310983,0.27848,0.343345,0.005183,0,0.034333,0.003212,0,0.029828,0.001797,0,0.01845,0.001785,0,0.017693,0.000923,0,0.009022,0.367216,0.30519,0.427927,0.005254,0,0.041403,0.001668,0,0.016003,0.610878,0.541885,0.674485,0.002083,0,0.018379
"PH_TB_1.sorted.bam","1","TB",0.022577,2.8e-05,0.056309,0.013316,2e-06,0.04446,0.689336,0.649937,0.726022,0.274771,0.238868,0.313139,0.011538,0,0.052354,0.007771,0,0.053404,0.00449,0,0.038306,0.002217,0,0.023505,0.004304,0,0.039069,0.430345,0.365167,0.494555,0.012089,0,0.06872,0.005577,0,0.052298,0.511462,0.421235,0.592928,0.010206,0,0.057137
"PH_TB_2.sorted.bam","2","TB",0.023303,8.3e-05,0.053903,0.008134,0,0.03629,0.689203,0.653764,0.721329,0.27936,0.248798,0.309524,0.015725,0,0.049318,0.003839,0,0.030767,0.004391,0,0.033979,0.00872,0,0.060629,0.001614,0,0.017341,0.408285,0.346196,0.46562,0.002595,0,0.027769,0.002033,0,0.019677,0.551502,0.487627,0.613851,0.001295,0,0.013662
"PH_TB_3.sorted.bam","3","TB",0.050537,0.017734,0.085712,0.007574,0,0.033779,0.682397,0.646398,0.716489,0.259493,0.226682,0.293649,0.043041,0,0.083531,0.005589,0,0.054682,0.00239,0,0.020011,0.003071,0,0.033834,0.001973,0,0.020765,0.431916,0.371102,0.492245,0.006332,0,0.059081,0.002806,0,0.025846,0.495918,0.423204,0.565856,0.006964,0,0.040669
"PH_TB_4.sorted.bam","4","TB",0.004779,0,0.024403,0.127789,0.096532,0.158685,0.499646,0.49567,0.504712,0.367786,0.338187,0.396469,0.000218,0,0.002337,0.000477,0,0.004791,0.000216,0,0.002165,0.008284,0,0.04795,0.254366,0.191993,0.31585,0.001024,0,0.010491,0.000361,0,0.003865,0.000303,0,0.002944,0.734593,0.67439,0.79233,0.000157,0,0.001624
"PH_TB_6.sorted.bam","6","TB",0.010872,1e-06,0.040516,0.011914,2e-06,0.039407,0.679389,0.646315,0.710798,0.297824,0.268571,0.327827,0.007784,0,0.03801,0.002552,0,0.02389,0.007726,0,0.036664,0.002582,0,0.02638,0.004747,0,0.038564,0.379527,0.322225,0.435251,0.001043,0,0.009911,0.001078,0,0.011694,0.592396,0.533838,0.652492,0.000565,0,0.006275
"PH_TB_7.sorted.bam","7","TB",0.003299,0,0.018995,0.164534,0.127936,0.203224,0.593608,0.560624,0.628498,0.238559,0.2019,0.273145,0.001095,0,0.011111,0.000956,0,0.010517,0.003758,0,0.029449,0.002237,0,0.021762,0.319252,0.242086,0.39434,0.196541,0.132152,0.266239,0.001216,0,0.012186,0.001344,0,0.013639,0.472644,0.396539,0.543241,0.000957,0,0.009723
"PH_TB_8.sorted.bam","8","TB",0.004886,0,0.025574,0.023583,0.00165,0.051728,0.693631,0.657412,0.726747,0.277901,0.24593,0.30989,0.0022,0,0.021835,0.001839,0,0.018963,0.020535,0,0.048664,0.001127,0,0.011323,0.002777,0,0.026741,0.41738,0.355947,0.477282,0.002406,0,0.02447,0.001481,0,0.016187,0.548598,0.48002,0.612591,0.001658,0,0.016744
"PH_TB_9.sorted.bam","9","TB",0.234173,0.198738,0.26888,0.155789,0.124793,0.189385,0.351832,0.319223,0.384013,0.258206,0.222969,0.291076,0.000326,0,0.003526,0.292917,0.226851,0.359341,0.000383,0,0.003924,0.17378,0.090661,0.26003,0.016161,0,0.099067,0.000212,0,0.002209,0.000997,0,0.010356,0.001733,0,0.017659,0.513301,0.441975,0.57923,0.000191,0,0.001977
"PH_WC_10.sorted.bam","10","WC",0.049442,0.017762,0.085073,0.150544,0.108368,0.193876,0.311826,0.272971,0.349785,0.488187,0.454553,0.508258,0.009186,0,0.053091,0.007231,0,0.062808,0.001586,0,0.016591,0.00798,0,0.06073,0.001495,0,0.013728,0.000672,0,0.006916,0.065301,0,0.160591,0.289191,0.203109,0.370821,0.612833,0.533428,0.682898,0.004525,0,0.041128
