"V1","individual_id","population","q_1","lb_q_1","ub_q_1","q_2","lb_q_2","ub_q_2","q_3","lb_q_3","ub_q_3","Q_1_1","lb_Q_1_1","ub_Q_1_1","Q_2_1","lb_Q_2_1","ub_Q_2_1","Q_2_2","lb_Q_2_2","ub_Q_2_2","Q_3_1","lb_Q_3_1","ub_Q_3_1","Q_3_2","lb_Q_3_2","ub_Q_3_2","Q_3_3","lb_Q_3_3","ub_Q_3_3"
"PH_AS_8.sorted.bam","8","AS",0.005365,0,0.026001,0.063242,0.009577,0.111538,0.931393,0.885474,0.9777,0.00229,0,0.0181,0.001945,0,0.019462,0.010027,0,0.073079,0.004206,0,0.036527,0.104484,0,0.216807,0.877047,0.779181,0.970556
"PH_AS_9.sorted.bam","9","AS",0.005658,0,0.024876,0.060251,0.011432,0.109745,0.934091,0.886662,0.980507,0.000894,0,0.008273,0.005373,0,0.041977,0.028457,0,0.096075,0.004154,0,0.033051,0.058215,0,0.204501,0.902907,0.790005,0.976816
"PH_BA_10.sorted.bam","10","BA",0.548356,0.504388,0.587232,0.397277,0.34143,0.44804,0.054367,0.001967,0.102112,0.107179,0.016926,0.189982,0.783528,0.666839,0.88653,0.00288,0,0.032953,0.098825,6e-06,0.198274,0.005267,0,0.048066,0.002321,0,0.023701
"PH_BA_1.sorted.bam","1","BA",0.531239,0.494381,0.58014,0.381094,0.317364,0.446242,0.087667,0.035438,0.135082,0.069798,0,0.16854,0.756306,0.630545,0.887949,0.002066,0,0.022407,0.166576,0.047715,0.267394,0.00175,0,0.017636,0.003504,0,0.033148
"PH_BA_2.sorted.bam","2","BA",0.552709,0.496695,0.597368,0.367305,0.308869,0.431734,0.079986,0.037026,0.122465,0.152134,1e-06,0.275244,0.688525,0.521265,0.843591,0.012196,0,0.082941,0.112624,0,0.235243,0.021694,0,0.159725,0.012827,0,0.076372
"PH_BA_3.sorted.bam","3","BA",0.518347,0.479742,0.563403,0.414302,0.363844,0.460992,0.067351,0.027443,0.110435,0.087763,0,0.204097,0.79011,0.656271,0.906049,0.001852,0,0.016531,0.071058,0,0.202897,0.034789,0,0.143649,0.014428,0,0.074846
"PH_BA_4.sorted.bam","4","BA",0.534074,0.49735,0.581027,0.417899,0.353852,0.47883,0.048027,0.00025,0.097698,0.072735,0,0.166508,0.830196,0.700308,0.952452,0.002005,0,0.019325,0.092481,0,0.193196,0.001591,0,0.016371,0.000992,0,0.009269
"PH_BA_5.sorted.bam","5","BA",0.587971,0.54586,0.632883,0.334301,0.271522,0.3935,0.077728,0.030052,0.129421,0.195224,0.105199,0.295116,0.645584,0.498086,0.777966,0.01028,0,0.073927,0.139911,0.006083,0.251935,0.002458,0,0.029095,0.006544,0,0.052788
"PH_BA_7.sorted.bam","7","BA",0.545368,0.499272,0.583243,0.39062,0.336746,0.445943,0.064012,0.015745,0.111317,0.098893,1.3e-05,0.179493,0.771343,0.663139,0.88564,0.003226,0,0.028873,0.121608,0.018899,0.217868,0.003444,0,0.031202,0.001486,0,0.014972
"PH_BA_9.sorted.bam","9","BA",0.499614,0.49496,0.504644,0.331923,0.286285,0.374458,0.168464,0.125834,0.213973,0.001086,0,0.010846,0.661954,0.570553,0.746849,0.000593,0,0.00583,0.335103,0.250052,0.426552,0.000706,0,0.006647,0.00056,0,0.005621
"PH_BB_10.sorted.bam","10","BB",0.015393,1e-06,0.047779,0.976285,0.933977,0.999921,0.008322,0,0.036238,0.003976,0,0.03086,0.016348,0,0.086898,0.965236,0.900652,0.999889,0.006487,0,0.048882,0.00575,0,0.046589,0.002204,0,0.019678
"PH_BB_1.sorted.bam","1","BB",0.02026,1.6e-05,0.052008,0.965771,0.917199,0.999185,0.013968,0,0.048026,0.005157,0,0.034164,0.017723,0,0.090591,0.951717,0.882632,0.998997,0.012484,0,0.06684,0.010385,0,0.072931,0.002534,0,0.023026
"PH_BB_2.sorted.bam","2","BB",0.004085,0,0.020447,0.977254,0.935291,0.999897,0.018661,2e-06,0.058558,0.000733,0,0.006727,0.003779,0,0.031765,0.963744,0.884,0.999856,0.002925,0,0.026661,0.023242,0,0.103725,0.005577,0,0.038439
"PH_BB_3.sorted.bam","3","BB",0.025832,1.5e-05,0.066643,0.867971,0.810843,0.922542,0.106198,0.060222,0.154794,0.001652,0,0.017787,0.038005,0,0.127591,0.749785,0.630929,0.854851,0.010355,0,0.076129,0.198367,0.096205,0.300325,0.001837,0,0.018554
"PH_BB_4.sorted.bam","4","BB",0.052345,0.022076,0.086211,0.940622,0.903072,0.974171,0.007033,0,0.035232,0.001372,0,0.012779,0.096695,0.026852,0.169493,0.89049,0.821237,0.952631,0.00525,0,0.05137,0.003568,0,0.036824,0.002624,0,0.025319
"PH_BB_5.sorted.bam","5","BB",0.004111,0,0.019698,0.987608,0.955069,0.999981,0.008281,0,0.036171,0.00092,0,0.008564,0.002969,0,0.022906,0.981398,0.9275,0.999974,0.003413,0,0.029059,0.009453,0,0.065051,0.001848,0,0.01754
"PH_BB_6.sorted.bam","6","BB",0.013056,0,0.046166,0.972095,0.926423,0.99988,0.014849,1e-06,0.050797,0.001229,0,0.011898,0.013826,0,0.085501,0.959669,0.883629,0.999843,0.009826,0,0.055756,0.011027,0,0.082515,0.004423,0,0.034406
"PH_BB_7.sorted.bam","7","BB",0.004035,0,0.021628,0.978016,0.929353,0.999951,0.017949,1e-06,0.064943,0.001276,0,0.012724,0.0032,0,0.027715,0.967109,0.884611,0.999927,0.002317,0,0.020363,0.018614,0,0.10447,0.007484,0,0.048869
