"V1","individual_id","population","q_1","lb_q_1","ub_q_1","q_2","lb_q_2","ub_q_2","q_3","lb_q_3","ub_q_3","q_4","lb_q_4","ub_q_4","q_5","lb_q_5","ub_q_5","Q_1_1","lb_Q_1_1","ub_Q_1_1","Q_2_1","lb_Q_2_1","ub_Q_2_1","Q_2_2","lb_Q_2_2","ub_Q_2_2","Q_3_1","lb_Q_3_1","ub_Q_3_1","Q_3_2","lb_Q_3_2","ub_Q_3_2","Q_3_3","lb_Q_3_3","ub_Q_3_3","Q_4_1","lb_Q_4_1","ub_Q_4_1","Q_4_2","lb_Q_4_2","ub_Q_4_2","Q_4_3","lb_Q_4_3","ub_Q_4_3","Q_4_4","lb_Q_4_4","ub_Q_4_4","Q_5_1","lb_Q_5_1","ub_Q_5_1","Q_5_2","lb_Q_5_2","ub_Q_5_2","Q_5_3","lb_Q_5_3","ub_Q_5_3","Q_5_4","lb_Q_5_4","ub_Q_5_4","Q_5_5","lb_Q_5_5","ub_Q_5_5"
"PH_FC_11.sorted.bam","11","FC",0.009092,3e-06,0.029343,0.415611,0.384752,0.445329,0.44425,0.417832,0.464053,0.070598,0.042268,0.101197,0.060449,0.038161,0.085546,0.001423,0,0.012585,0.005413,0,0.043518,0.084745,0.037881,0.124583,0.00284,0,0.0276,0.643045,0.577801,0.708004,0.002607,0,0.024937,0.001987,0,0.020067,0.001244,0,0.01227,0.135798,0.078847,0.197307,0.000504,0,0.005425,0.005099,0,0.037829,0.012031,0,0.09536,0.101603,0.015761,0.157509,0.001159,0,0.011368,0.000503,0,0.005203
"PH_FC_12.sorted.bam","12","FC",0.022149,0.00113,0.041995,0.442322,0.413533,0.470782,0.433454,0.409503,0.456507,0.063745,0.040062,0.088954,0.03833,0.018224,0.059455,0.000353,0,0.003833,0.009508,0,0.056444,0.054961,0.023913,0.091043,0.011527,0,0.058304,0.720874,0.659564,0.778472,0.000537,0,0.00568,0.001684,0,0.017696,0.003607,0,0.033385,0.120226,0.06771,0.171411,0.000466,0,0.004815,0.020873,0,0.072597,0.040735,0,0.103157,0.013208,0,0.076562,0.001041,0,0.011298,0.000402,0,0.004628
"PH_FC_1.sorted.bam","1","FC",0.026219,0.000711,0.050581,0.499042,0.46516,0.535027,0.41343,0.380178,0.442227,0.058734,0.034919,0.083866,0.002575,0,0.012608,0.001423,0,0.015226,0.004787,0,0.048601,0.212945,0.169492,0.255874,0.042014,0,0.096843,0.565461,0.490259,0.637468,0.055704,0.004998,0.101969,0.001968,0,0.019725,0.001249,0,0.013276,0.106418,0.052852,0.161338,0.0036,0,0.023259,0.000823,0,0.009077,0.000699,0,0.007137,0.001559,0,0.016739,0.000633,0,0.006445,0.000719,0,0.007334
"PH_FC_2.sorted.bam","2","FC",0.036124,0.013253,0.061501,0.476049,0.441186,0.512021,0.412758,0.374119,0.445292,0.069893,0.046216,0.094347,0.005175,1e-06,0.02194,0.023204,0,0.05673,0.005185,0,0.040607,0.220989,0.176594,0.267982,0.016989,0,0.079255,0.503432,0.426942,0.577523,0.083377,0.029402,0.133617,0.001884,0,0.017688,0.000792,0,0.009276,0.134475,0.083263,0.184083,0.000968,0,0.010516,0.001783,0,0.017449,0.000712,0,0.007528,0.003866,0,0.033267,0.000699,0,0.007261,0.001645,0,0.014225
"PH_FC_4.sorted.bam","4","FC",0.013374,0.000297,0.034938,0.509243,0.474719,0.544376,0.431668,0.40004,0.460419,0.038526,0.01448,0.063104,0.007189,4e-06,0.02393,0.007097,0,0.026266,0.002968,0,0.028823,0.214702,0.170236,0.260365,0.006589,0,0.043709,0.583165,0.508374,0.656313,0.101761,0.05671,0.146016,0.001646,0,0.016952,0.001361,0,0.014073,0.066626,0.005693,0.121112,0.002412,0,0.022285,0.001351,0,0.013393,0.001587,0,0.016683,0.003434,0,0.027726,0.002595,0,0.022542,0.002705,0,0.018631
"PH_FC_6.sorted.bam","6","FC",0.019792,0.000308,0.043404,0.38892,0.358255,0.418993,0.446633,0.425098,0.465205,0.09885,0.071615,0.126361,0.045806,0.022288,0.069079,0.000744,0,0.007725,0.012304,0,0.065113,0.080838,0.045528,0.11949,0.019178,0,0.073432,0.598177,0.531425,0.666527,0.000917,0,0.009534,0.001949,0,0.018729,0.00113,0,0.011737,0.193253,0.136399,0.250068,0.000409,0,0.004397,0.004664,0,0.036617,0.004551,0,0.05137,0.080824,2e-06,0.134437,0.000549,0,0.005949,0.000511,0,0.005475
"PH_FC_8.sorted.bam","8","FC",0.053218,0.029234,0.080105,0.351643,0.318333,0.383045,0.415709,0.38721,0.443057,0.126757,0.095757,0.156302,0.052672,0.028403,0.076581,0.000379,0,0.004019,0.069397,0,0.136574,0.00172,0,0.018669,0.006531,0,0.057437,0.565252,0.483883,0.65949,0.000351,0,0.003821,0.002646,0,0.029727,0.005131,0,0.052361,0.243308,0.17653,0.30408,0.000519,0,0.005243,0.027106,0,0.111484,0.060065,0,0.129745,0.015625,0,0.093042,0.001392,0,0.015317,0.000578,0,0.005688
"PH_FC_9.sorted.bam","9","FC",0.007517,2e-06,0.029971,0.520408,0.486065,0.556123,0.431107,0.39908,0.46001,0.039417,0.017429,0.062464,0.001551,0,0.008765,0.001658,0,0.014944,0.001954,0,0.019276,0.250202,0.20735,0.295312,0.008534,0,0.055272,0.536537,0.464939,0.606158,0.121477,0.077289,0.163594,0.000757,0,0.008104,0.001472,0,0.015081,0.07306,0.010545,0.121781,0.001624,0,0.017463,0.000473,0,0.005035,0.000449,0,0.004538,0.001128,0,0.011255,0.000296,0,0.003029,0.000378,0,0.004053
"PH_FV_10.sorted.bam","10","FV",0.00097,0,0.005205,0.002277,0,0.012189,0.46105,0.431697,0.488578,0.446423,0.415251,0.480364,0.08928,0.060987,0.119456,0.000191,0,0.002263,0.000359,0,0.003542,0.000616,0,0.00656,0.000534,0,0.005923,0.001236,0,0.01381,0.087799,0.044022,0.133375,0.00031,0,0.003063,0.000759,0,0.008163,0.728699,0.651588,0.794449,0.080102,0.041864,0.124972,0.000355,0,0.00378,0.000967,0,0.009237,0.016031,0,0.094404,0.002875,0,0.026707,0.079166,0.036648,0.114709
"PH_FV_11.sorted.bam","11","FV",0.000977,0,0.005397,0.001117,0,0.006253,0.484213,0.455674,0.511622,0.447667,0.415987,0.479708,0.066026,0.036893,0.095309,0.000313,0,0.003364,0.00023,0,0.002476,0.000306,0,0.002952,0.000451,0,0.004452,0.000589,0,0.006303,0.11937,0.075765,0.162878,0.000303,0,0.003033,0.000379,0,0.0037,0.720685,0.65546,0.783349,0.08643,0.050286,0.125531,0.000342,0,0.003765,0.000426,0,0.004608,0.007962,0,0.070011,0.001106,0,0.012367,0.061108,0.027169,0.093427
