"V1","individual_id","population","q_1","lb_q_1","ub_q_1","q_2","lb_q_2","ub_q_2","Q_1_1","lb_Q_1_1","ub_Q_1_1","Q_2_1","lb_Q_2_1","ub_Q_2_1","Q_2_2","lb_Q_2_2","ub_Q_2_2"
"PH_OF_3.sorted.bam","3","OF",0.181346,0.143757,0.219729,0.818654,0.780271,0.856244,0.029115,0,0.107864,0.304462,0.148523,0.409681,0.666423,0.584966,0.760015
"PH_OF_4.sorted.bam","4","OF",0.16968,0.132308,0.208093,0.83032,0.791907,0.867692,0.02276,0,0.109121,0.293841,0.136237,0.399206,0.6834,0.597282,0.77209
"PH_OF_5.sorted.bam","5","OF",0.168086,0.12509,0.210341,0.831914,0.789659,0.87491,0.15271,0.071076,0.205523,0.030752,0,0.174232,0.816538,0.734385,0.869155
"PH_OF_6.sorted.bam","6","OF",0.269683,0.231263,0.307465,0.730317,0.692535,0.768737,0.000708,0,0.005361,0.53795,0.459898,0.613949,0.461342,0.38568,0.539229
"PH_OF_7.sorted.bam","7","OF",0.275974,0.235973,0.314612,0.724026,0.685388,0.764027,0.000366,0,0.002921,0.551215,0.470261,0.629179,0.448418,0.370819,0.528889
"PH_PC_10.sorted.bam","10","PC",0.270628,0.229778,0.313185,0.729372,0.686815,0.770222,0.13974,0.059637,0.227172,0.261776,0.084067,0.419458,0.598484,0.494877,0.703919
"PH_PC_11.sorted.bam","11","PC",0.244836,0.203957,0.287473,0.755164,0.712527,0.796043,0.03655,0,0.13814,0.416573,0.210047,0.537831,0.546877,0.45567,0.668862
"PH_PC_12.sorted.bam","12","PC",0.217482,0.17643,0.258079,0.782518,0.741921,0.82357,0.182163,0.102835,0.246163,0.070637,0,0.234883,0.7472,0.649922,0.81726
"PH_PC_1.sorted.bam","1","PC",0.278545,0.236006,0.321983,0.721455,0.678017,0.763994,0.082686,0.001274,0.168935,0.391718,0.231469,0.537653,0.525597,0.434269,0.619388
"PH_PC_2.sorted.bam","2","PC",0.261066,0.22302,0.301001,0.738934,0.698999,0.77698,0.007038,0,0.04533,0.508055,0.413348,0.594712,0.484907,0.403112,0.560702
