"V1","individual_id","population","q_1","lb_q_1","ub_q_1","q_2","lb_q_2","ub_q_2","q_3","lb_q_3","ub_q_3","q_4","lb_q_4","ub_q_4","q_5","lb_q_5","ub_q_5","q_6","lb_q_6","ub_q_6","Q_1_1","lb_Q_1_1","ub_Q_1_1","Q_2_1","lb_Q_2_1","ub_Q_2_1","Q_2_2","lb_Q_2_2","ub_Q_2_2","Q_3_1","lb_Q_3_1","ub_Q_3_1","Q_3_2","lb_Q_3_2","ub_Q_3_2","Q_3_3","lb_Q_3_3","ub_Q_3_3","Q_4_1","lb_Q_4_1","ub_Q_4_1","Q_4_2","lb_Q_4_2","ub_Q_4_2","Q_4_3","lb_Q_4_3","ub_Q_4_3","Q_4_4","lb_Q_4_4","ub_Q_4_4","Q_5_1","lb_Q_5_1","ub_Q_5_1","Q_5_2","lb_Q_5_2","ub_Q_5_2","Q_5_3","lb_Q_5_3","ub_Q_5_3","Q_5_4","lb_Q_5_4","ub_Q_5_4","Q_5_5","lb_Q_5_5","ub_Q_5_5","Q_6_1","lb_Q_6_1","ub_Q_6_1","Q_6_2","lb_Q_6_2","ub_Q_6_2","Q_6_3","lb_Q_6_3","ub_Q_6_3","Q_6_4","lb_Q_6_4","ub_Q_6_4","Q_6_5","lb_Q_6_5","ub_Q_6_5","Q_6_6","lb_Q_6_6","ub_Q_6_6"
"PH_AS_8.sorted.bam","8","AS",0.001045,0,0.008103,0.039517,0,0.086056,0.041422,0.014998,0.072533,0.823652,0.762917,0.878263,0.093034,0.055702,0.131303,0.001329,0,0.009182,0.000218,0,0.002134,0.00031,0,0.003619,0.001971,0,0.025137,0.000276,0,0.003232,0.016666,0,0.100972,0.000303,0,0.00354,0.000506,0,0.005539,0.010055,0,0.117134,0.049674,0,0.138415,0.734749,0.592729,0.855713,0.000327,0,0.004402,0.0477,0,0.165717,0.01521,0,0.09872,0.117157,0,0.255901,0.00264,0,0.034414,0.000235,0,0.002865,0.000361,0,0.004088,0.00041,0,0.00524,0.000416,0,0.005493,0.000394,0,0.005369,0.000421,0,0.005742
"PH_AS_9.sorted.bam","9","AS",0.001008,0,0.008041,0.020588,0,0.069732,0.065307,0.035395,0.094784,0.835082,0.768039,0.889062,0.076234,0.04712,0.114189,0.001781,0,0.013256,9.2e-05,0,0.000994,0.000243,0,0.0029,0.002263,0,0.031409,0.000452,0,0.004814,0.027476,0,0.13483,0.000594,0,0.007246,0.000238,0,0.002826,0.004143,0,0.060688,0.002866,0,0.040998,0.806948,0.681318,0.886287,0.00065,0,0.008838,0.004,0,0.052558,0.097548,0,0.178414,0.048442,0,0.19373,0.00062,0,0.007552,0.000249,0,0.003277,0.000788,0,0.011413,0.001085,0,0.016365,0.000579,0,0.006199,0.000589,0,0.008074,0.000135,0,0.001543
"PH_BA_10.sorted.bam","10","BA",0.060851,0.01931,0.109488,0.419732,0.355554,0.461255,0.002637,0,0.019236,0.05885,0.020638,0.108752,0.002274,0,0.017389,0.455656,0.419256,0.498969,0.006846,0,0.059463,0.008746,0,0.095614,0.001787,0,0.027016,0.001901,0,0.024088,0.000743,0,0.011353,0.000123,0,0.001214,0.048577,0,0.149965,0.016811,0,0.124713,0.001003,0,0.017231,0.000424,0,0.003939,0.001316,0,0.020113,0.000575,0,0.007517,0.000481,0,0.005147,0.000366,0,0.004215,0.000154,0,0.001834,0.047471,0,0.19858,0.809014,0.667987,0.913828,9e-04,0,0.01202,0.050094,0,0.195063,0.001503,0,0.021321,0.001166,0,0.014015
"PH_BA_1.sorted.bam","1","BA",0.102107,0.049018,0.155921,0.392142,0.331434,0.448732,0.057724,0.032527,0.084248,0.006132,0,0.03924,0.001138,0,0.008648,0.440758,0.410492,0.470367,0.001485,0,0.018211,0.000466,0,0.005675,0.002296,0,0.034956,0.072273,0,0.159713,0.034881,0,0.145345,0.000355,0,0.004911,0.001346,0,0.015504,0.001888,0,0.026686,0.003871,0,0.060862,0.001254,0,0.017856,0.000348,0,0.00418,0.000475,0,0.004961,0.000283,0,0.003371,0.000495,0,0.007022,0.000134,0,0.001385,0.126809,0,0.277624,0.741982,0.587191,0.887801,0.003429,0,0.041971,0.002156,0,0.030256,0.000406,0,0.004885,0.003367,0,0.046814
"PH_BA_2.sorted.bam","2","BA",0.066883,0.029154,0.109745,0.406059,0.350488,0.456528,0.047407,0.019876,0.073962,0.015284,0,0.062377,0.004782,0,0.026632,0.459585,0.417509,0.507123,0.00437,0,0.048253,0.029581,0,0.142485,0.003564,0,0.043944,0.072581,0,0.142791,0.000836,0,0.010308,0.000277,0,0.003259,0.017449,0,0.11655,0.000593,0,0.004998,0.005776,0,0.070932,0.001177,0,0.016364,0.002723,0,0.034528,0.000692,0,0.009508,0.001548,0,0.02152,0.001401,0,0.021333,0.000303,0,0.002743,0.002692,0,0.039982,0.773289,0.618516,0.898682,0.013519,0,0.107042,0.002994,0,0.042997,0.002594,0,0.038296,0.062041,0,0.165287
"PH_BA_3.sorted.bam","3","BA",0.056578,0.017699,0.098129,0.381465,0.325976,0.436305,0.039313,0.01001,0.067708,0.062768,0.01579,0.116986,0.001981,0,0.014846,0.457896,0.427837,0.485689,0.000795,0,0.009643,0.00166,0,0.024046,0.003294,0,0.044156,0.024997,0,0.106984,0.006463,0,0.077007,0.000156,0,0.002175,0.004206,0,0.057085,0.001033,0,0.015118,0.017764,0,0.099901,0.022519,0,0.105294,0.000402,0,0.004745,0.000831,0,0.009228,0.000389,0,0.004944,0.00089,0,0.007911,0.000523,0,0.006622,0.080302,0,0.190099,0.746354,0.608778,0.85971,0.028701,0,0.125258,0.056604,0,0.211669,0.000402,0,0.004413,0.001714,0,0.023292
"PH_BA_4.sorted.bam","4","BA",0.100311,0.053287,0.150338,0.378105,0.316736,0.433111,0.027753,1e-06,0.057473,0.031591,0,0.08256,0.00273,0,0.018582,0.459509,0.41747,0.498988,0.00133,0,0.017274,0.008975,0,0.105687,0.001116,0,0.01316,0.021502,0,0.099768,0.000842,0,0.008168,0.000334,0,0.004226,0.037834,0,0.150926,0.004371,0,0.05654,0.001401,0,0.020234,0.000948,0,0.011021,0.001873,0,0.023893,0.000636,0,0.008111,0.00049,0,0.004287,0.001458,0,0.02016,0.00011,0,0.001242,0.127778,0,0.250995,0.739154,0.597422,0.854174,0.030602,0,0.106109,0.016224,0,0.112391,0.000783,0,0.009562,0.002239,0,0.024577
"PH_BA_5.sorted.bam","5","BA",0.0665,0.009853,0.121255,0.369469,0.282105,0.459301,0.003049,0,0.027546,0.073437,0.001272,0.150796,0.001483,0,0.010947,0.486062,0.442023,0.518528,0.000752,0,0.009262,0.001798,0,0.021941,0.000709,0,0.006188,0.000762,0,0.00951,0.000552,0,0.007338,0.000247,0,0.002328,0.023453,0,0.14565,0.001072,0,0.014666,0.000338,0,0.00376,0.007738,0,0.070318,0.001017,0,0.015004,0.00034,0,0.004297,0.000501,0,0.006815,0.000411,0,0.005019,0.000126,0,0.001614,0.104466,0,0.236808,0.733759,0.561285,0.916383,0.003451,0,0.048995,0.106125,0,0.282332,0.000444,0,0.005508,0.011939,0,0.120384
"PH_BA_7.sorted.bam","7","BA",0.097881,0.051354,0.144892,0.390725,0.335874,0.445891,0.036247,0.006413,0.061543,0.016293,0,0.068044,0.000919,0,0.007002,0.457935,0.424013,0.491521,0.0047,0,0.054397,0.000451,0,0.005517,0.002946,0,0.039017,0.039662,0,0.115285,0.020231,0,0.098761,0.000164,0,0.001824,0.00289,0,0.041586,0.006681,0,0.07695,0.006639,0,0.061214,0.000733,0,0.008051,0.000386,0,0.004297,0.000359,0,0.004035,0.000236,0,0.00267,0.000376,0,0.004282,9.5e-05,0,0.001015,0.142974,0,0.249708,0.747836,0.607659,0.886584,0.005398,0,0.063325,0.014535,0,0.113835,0.00029,0,0.003559,0.002419,0,0.035976
"PH_BA_9.sorted.bam","9","BA",0.038546,1e-06,0.075267,0.343302,0.285395,0.398267,0.050669,0.026191,0.080057,0.098942,0.04126,0.155705,0.005191,0,0.030971,0.463349,0.424403,0.499967,0.000277,0,0.002683,0.002297,0,0.028001,0.000315,0,0.003574,0.041056,0,0.126275,0.000679,0,0.006929,6.5e-05,0,0.00078,0.024457,0,0.140241,0.000573,0,0.006508,0.000193,0,0.002182,0.000182,0,0.002366,0.002153,0,0.028053,0.000374,0,0.003816,0.000526,0,0.006574,0.000316,0,0.003997,5.7e-05,0,0.000675,0.006576,0,0.07763,0.682053,0.563626,0.794447,0.058753,0,0.151683,0.171981,0,0.305401,0.0069,0,0.057092,0.000218,0,0.002635
