"V1","individual_id","population","q_1","lb_q_1","ub_q_1","q_2","lb_q_2","ub_q_2","q_3","lb_q_3","ub_q_3","q_4","lb_q_4","ub_q_4","q_5","lb_q_5","ub_q_5","Q_1_1","lb_Q_1_1","ub_Q_1_1","Q_2_1","lb_Q_2_1","ub_Q_2_1","Q_2_2","lb_Q_2_2","ub_Q_2_2","Q_3_1","lb_Q_3_1","ub_Q_3_1","Q_3_2","lb_Q_3_2","ub_Q_3_2","Q_3_3","lb_Q_3_3","ub_Q_3_3","Q_4_1","lb_Q_4_1","ub_Q_4_1","Q_4_2","lb_Q_4_2","ub_Q_4_2","Q_4_3","lb_Q_4_3","ub_Q_4_3","Q_4_4","lb_Q_4_4","ub_Q_4_4","Q_5_1","lb_Q_5_1","ub_Q_5_1","Q_5_2","lb_Q_5_2","ub_Q_5_2","Q_5_3","lb_Q_5_3","ub_Q_5_3","Q_5_4","lb_Q_5_4","ub_Q_5_4","Q_5_5","lb_Q_5_5","ub_Q_5_5"
"PH_FV_5.sorted.bam","5","FV",0.133861,0.097903,0.170028,0.003146,0,0.019003,0.821894,0.765241,0.874282,0.001846,0,0.01139,0.039252,1e-06,0.095507,0.001234,0,0.015031,0.000346,0,0.004524,0.001575,0,0.015194,0.251619,0.139821,0.335254,0.000683,0,0.008384,0.668891,0.54765,0.767356,0.000643,0,0.006929,0.000575,0,0.007377,0.000951,0,0.010788,0.000415,0,0.005226,0.012649,0,0.100336,0.001538,0,0.017698,0.052753,0,0.185316,0.000694,0,0.008341,0.005435,0,0.052752
"PH_FV_6.sorted.bam","6","FV",0.140983,0.107247,0.175882,0.001779,0,0.012229,0.781361,0.73075,0.833118,0.00161,0,0.010493,0.074268,0.024453,0.123758,0.000764,0,0.009801,0.000737,0,0.008355,0.00035,0,0.004065,0.23583,0.067019,0.341681,0.001165,0,0.015612,0.635404,0.492093,0.76078,0.000418,0,0.005003,0.000296,0,0.003271,0.000716,0,0.0083,0.000522,0,0.00616,0.043453,0,0.186828,0.00066,0,0.007122,0.054203,0,0.220016,0.000746,0,0.009147,0.024737,0,0.108467
"PH_FV_7.sorted.bam","7","FV",0.114679,0.081848,0.149736,0.001616,0,0.010711,0.810062,0.76468,0.853994,0.001433,0,0.009709,0.072209,0.027965,0.112451,0.000513,0,0.006043,0.000587,0,0.007082,0.000367,0,0.004348,0.109773,0,0.267964,0.000977,0,0.010596,0.742495,0.590183,0.831301,0.000495,0,0.005276,0.000214,0,0.002497,0.000903,0,0.011068,0.000303,0,0.003626,0.117477,0,0.220155,0.000719,0,0.008017,0.023481,0,0.160341,0.000648,0,0.007562,0.001047,0,0.014235
"PH_FV_8.sorted.bam","8","FV",0.130829,0.098684,0.162441,0.003659,0,0.021924,0.798536,0.737148,0.868977,0.001524,0,0.010736,0.065453,1.3e-05,0.121701,0.001039,0,0.012533,0.002415,0,0.027698,0.00057,0,0.007429,0.236661,0.110461,0.318576,0.002011,0,0.024754,0.641013,0.498582,0.763891,0.000652,0,0.007823,0.000679,0,0.008431,0.000668,0,0.007134,0.000181,0,0.002195,0.019851,0,0.132775,0.001073,0,0.012058,0.075705,0,0.230454,0.000686,0,0.008512,0.016795,0,0.08872
"PH_FV_9.sorted.bam","9","FV",0.095302,0.063898,0.131781,0.001155,0,0.008083,0.807901,0.7529,0.862926,0.004985,0,0.022879,0.090657,0.04532,0.13688,0.000485,0,0.005768,0.000569,0,0.006806,0.00027,0,0.003268,0.109363,0,0.256372,0.000396,0,0.004235,0.704236,0.52162,0.8504,0.001475,0,0.015693,0.000336,0,0.004165,0.000705,0,0.009065,0.00317,0,0.019988,0.078227,0,0.212117,0.00047,0,0.004992,0.096866,0,0.269419,0.001114,0,0.012869,0.002319,0,0.026242
"PH_GB_10.sorted.bam","10","GB",0.373476,0.330215,0.416659,0.027893,0,0.081987,0.230866,0.1541,0.310281,0.19365,0.145161,0.24172,0.174114,0.115034,0.240414,0.190489,0.112744,0.277436,0.042071,0,0.158569,0.00281,0,0.035359,0.213146,0,0.485773,0.003887,0,0.045808,0.092082,0,0.294533,0.00673,0,0.075631,0.001909,0,0.020616,0.003596,0,0.047472,0.187236,0.129124,0.238345,0.104027,0,0.387393,0.0023,0,0.030756,0.056938,0,0.319922,0.000593,0,0.007298,0.092185,0,0.233546
"PH_GB_11.sorted.bam","11","GB",0.373676,0.333861,0.414344,0.011502,0,0.048484,0.230125,0.159551,0.301125,0.206898,0.165908,0.249843,0.177799,0.121858,0.236931,0.167486,0.093251,0.24382,0.008999,0,0.071724,0.001304,0,0.016433,0.012666,0,0.135495,0.004762,0,0.049118,0.189427,0,0.293749,0.222347,0.100736,0.346971,0.002072,0,0.02829,0.001805,0,0.02021,0.092914,0.020352,0.158678,0.168368,0,0.353645,0.004562,0,0.044937,0.062165,0,0.332736,0.001744,0,0.021386,0.05938,0,0.20765
"PH_GB_12.sorted.bam","12","GB",0.345579,0.303157,0.38943,0.025688,0,0.078288,0.215131,0.150013,0.294556,0.266152,0.216118,0.315938,0.14745,0.082696,0.206885,0.187022,0.097648,0.260875,0.012927,0,0.11042,0.002009,0,0.022636,0.093617,0,0.409123,0.017343,0,0.121175,0.020028,0,0.161804,0.198901,0,0.355901,0.008518,0,0.09086,0.037323,0,0.263061,0.142651,6.9e-05,0.273942,0.011671,0,0.164493,0.00857,0,0.077385,0.241923,0,0.398582,0.00226,0,0.027069,0.015239,0,0.13119
"PH_GB_1.sorted.bam","1","GB",0.377128,0.337992,0.417719,0.054396,0.002561,0.097567,0.231938,0.174233,0.295274,0.206692,0.160912,0.252104,0.129846,0.086373,0.182298,0.140128,0.070963,0.203356,0.042773,0,0.152687,0.009325,0,0.071587,0.345396,0.149101,0.491021,0.002584,0,0.031586,0.023009,0,0.152511,0.055772,0,0.198236,0.013708,0,0.101708,0.00421,0,0.054178,0.149385,0.078275,0.215543,0.030059,0,0.202475,0.031076,0,0.154381,0.065667,0,0.240827,0.040921,0,0.225016,0.045984,0,0.156843
"PH_GB_5.sorted.bam","5","GB",0.380526,0.338716,0.422287,0.048611,0.003935,0.095133,0.212147,0.138429,0.283897,0.218748,0.174159,0.267348,0.139968,0.089062,0.199331,0.156133,0.075544,0.247051,0.018351,0,0.112233,0.003418,0,0.038868,0.25245,0,0.468002,0.038486,0,0.158137,0.041213,0,0.253342,0.17396,0,0.398335,0.027918,0,0.146151,0.009745,0,0.112275,0.102307,0,0.220079,0.004025,0,0.053153,0.005634,0,0.064922,0.041186,0,0.268215,0.02126,0,0.224925,0.103915,0,0.188937
"PH_GB_6.sorted.bam","6","GB",0.327848,0.285456,0.367984,0.046921,0.000503,0.094608,0.210145,0.138245,0.279977,0.212211,0.170679,0.257007,0.202875,0.147188,0.261103,0.132481,0.06368,0.214595,0.005368,0,0.080843,0.001564,0,0.019276,0.312259,0,0.483215,0.025817,0,0.132153,0.008274,0,0.093191,0.049532,0,0.202685,0.053313,0,0.173896,0.061486,0,0.305006,0.12223,0,0.226941,0.023574,0,0.253133,0.006216,0,0.089455,0.004179,0,0.058294,0.015629,0,0.132025,0.178076,0.076724,0.247294
"PH_GB_8.sorted.bam","8","GB",0.330739,0.291614,0.365734,0.119766,0.079044,0.16066,0.235843,0.184305,0.295774,0.157537,0.124097,0.195023,0.156114,0.108314,0.199475,0.000321,0,0.003501,0.224847,0.12738,0.313303,0.000561,0,0.006515,0.352442,7e-06,0.521795,0.010925,0,0.084903,0.001775,0,0.022826,0.08297,0,0.343128,0.000582,0,0.007594,0.013915,0,0.113321,0.00032,0,0.00397,0.000577,0,0.006165,0.002057,0,0.0245,0.090854,0,0.386271,0.216966,0,0.359788,0.000887,0,0.010522
"PH_GB_9.sorted.bam","9","GB",0.371679,0.327172,0.417873,0.022911,0,0.068952,0.220959,0.152768,0.287829,0.216021,0.16605,0.263937,0.16843,0.112226,0.231181,0.089186,0,0.183407,0.007918,0,0.081582,0.005234,0,0.049918,0.402557,0.218838,0.551302,0.006947,0,0.06547,0.01121,0,0.093268,0.040834,0,0.186712,0.003907,0,0.044767,0.002038,0,0.022863,0.180231,0.082518,0.249635,0.113675,0,0.345539,0.016582,0,0.114338,0.007955,0,0.112966,0.0248,0,0.208142,0.086924,0,0.20889
"PH_KC_10.sorted.bam","10","KC",0.002439,0,0.013007,0.007633,0,0.030608,0.003135,0,0.016274,0.985124,0.959328,0.999629,0.001669,0,0.010279,0.000382,0,0.004807,0.002047,0,0.018848,0.003146,0,0.025905,0.00069,0,0.008666,0.002504,0,0.023969,0.000443,0,0.005112,0.000996,0,0.012968,0.003439,0,0.037856,0.001777,0,0.02137,0.981659,0.945135,0.999561,0.000383,0,0.004669,0.000985,0,0.011133,0.000411,0,0.005135,0.000718,0,0.008599,0.000421,0,0.004824
"PH_KC_11.sorted.bam","11","KC",0.002927,0,0.015174,0.004051,0,0.021641,0.002731,0,0.01454,0.987866,0.962031,0.999893,0.002425,0,0.014055,0.000597,0,0.007155,0.001266,0,0.015078,0.00167,0,0.018138,0.001617,0,0.016828,0.00074,0,0.008973,0.000385,0,0.005105,0.000947,0,0.011302,0.00124,0,0.015473,0.001791,0,0.021615,0.985237,0.951443,0.999863,0.000831,0,0.009373,0.001518,0,0.01728,0.000543,0,0.00652,0.00128,0,0.01445,0.000339,0,0.003953
"PH_KC_1.sorted.bam","1","KC",0.000593,0,0.004225,0.006261,0,0.035138,0.456066,0.419084,0.498279,0.495377,0.469804,0.500349,0.041703,0.001882,0.076384,6.4e-05,0,0.000763,0.000335,0,0.004207,0.000302,0,0.003548,0.000215,0,0.002737,0.001313,0,0.015592,0.000412,0,0.005133,0.000318,0,0.003329,0.004626,0,0.051354,0.908997,0.834401,0.988885,0.000217,0,0.002346,0.000189,0,0.002277,0.005643,0,0.056074,0.000784,0,0.00922,0.076379,0,0.150554,0.000205,0,0.002377
"PH_KC_2.sorted.bam","2","KC",0.119791,0.090981,0.147681,0.002548,0,0.017205,0.274461,0.23391,0.3165,0.496725,0.481061,0.501121,0.106474,0.06967,0.145263,8.4e-05,0,0.001009,0.001389,0,0.014776,0.000187,0,0.002199,0.001252,0,0.01616,0.001301,0,0.015363,0.000344,0,0.004265,0.236363,0.174797,0.294115,0.001239,0,0.014912,0.544762,0.461445,0.628823,0.000375,0,0.004697,0.000412,0,0.004723,0.000794,0,0.009312,0.000919,0,0.011977,0.210336,0.13539,0.287806,0.000244,0,0.002937
"PH_KC_3.sorted.bam","3","KC",0.001884,0,0.01122,0.001199,0,0.008662,0.001286,0,0.008765,0.994662,0.979575,0.999975,0.000969,0,0.006489,0.000813,0,0.009281,0.000353,0,0.00403,0.000284,0,0.003391,0.000539,0,0.00633,0.000442,0,0.004922,0.000369,0,0.00471,0.000832,0,0.010149,0.000661,0,0.008363,0.000564,0,0.006404,0.993374,0.974178,0.999968,0.000417,0,0.005503,0.000373,0,0.00469,0.000289,0,0.003526,0.00052,0,0.006613,0.000169,0,0.001987
"PH_KC_4.sorted.bam","4","KC",0.000806,0,0.005524,0.000711,0,0.005117,0.000795,0,0.005413,0.997052,0.987498,0.999989,0.000636,0,0.004634,0.000228,0,0.002635,0.000209,0,0.002533,0.000176,0,0.001916,0.000238,0,0.002741,0.000276,0,0.003242,0.000254,0,0.002988,0.000554,0,0.006257,0.000366,0,0.00382,0.000375,0,0.004817,0.996216,0.983253,0.999987,0.000154,0,0.00183,0.000219,0,0.002603,0.000194,0,0.002328,0.000376,0,0.004472,0.000164,0,0.001714
"PH_KC_5.sorted.bam","5","KC",0.000538,0,0.003949,0.000558,0,0.004081,0.000521,0,0.003678,0.997915,0.991004,0.999991,0.000468,0,0.003542,0.00016,0,0.001899,0.000143,0,0.001741,0.000211,0,0.002666,0.000141,0,0.001494,0.000113,0,0.001305,0.00013,0,0.001602,0.000335,0,0.003953,0.00029,0,0.003549,0.000365,0,0.004003,0.997325,0.987766,0.999989,0.000137,0,0.001435,0.000148,0,0.00186,0.000161,0,0.001936,0.000188,0,0.001943,0.000151,0,0.001741
"PH_KC_6.sorted.bam","6","KC",0.000953,0,0.006529,0.001657,0,0.011736,0.001488,0,0.009906,0.994835,0.979785,0.999977,0.001067,0,0.007287,0.000318,0,0.003909,0.000379,0,0.005419,0.000619,0,0.00864,0.000286,0,0.003634,0.000709,0,0.008604,0.000454,0,0.005387,0.000372,0,0.004451,0.000651,0,0.007016,0.000708,0,0.008874,0.993709,0.975581,0.999972,0.000234,0,0.002724,0.000336,0,0.004028,0.000366,0,0.00415,0.00052,0,0.006626,0.000339,0,0.004167
"PH_KC_7.sorted.bam","7","KC",0.000482,0,0.003497,0.000603,0,0.004765,0.000446,0,0.003486,0.998005,0.990528,0.999995,0.000464,0,0.0035,0.000164,0,0.001857,0.000158,0,0.001889,0.000252,0,0.003038,0.000132,0,0.001492,0.000164,0,0.001784,0.000158,0,0.001816,0.000195,0,0.002271,0.000246,0,0.002848,0.000173,0,0.001942,0.997591,0.988468,0.999994,0.00015,0,0.001707,0.000134,0,0.001683,0.000107,0,0.00121,0.000215,0,0.002084,0.00016,0,0.001876
"PH_KC_8.sorted.bam","8","KC",0.061719,0.036641,0.086913,0.032733,7.1e-05,0.066859,0.329929,0.279904,0.38021,0.495534,0.472372,0.50043,0.080085,0.047854,0.117834,7.8e-05,0,0.000915,0.003744,0,0.03801,0.000247,0,0.00301,0.000351,0,0.003563,0.000969,0,0.012689,0.000223,0,0.002533,0.118924,0.063935,0.170742,0.057352,0,0.130408,0.657803,0.557386,0.757051,0.000262,0,0.003135,0.000265,0,0.003215,0.002908,0,0.033851,0.000289,0,0.003159,0.156464,0.084359,0.232194,0.000122,0,0.001515
"PH_KC_9.sorted.bam","9","KC",0.006716,0,0.024825,0.023993,8e-06,0.057793,0.028656,8e-06,0.06896,0.937376,0.900913,0.972944,0.003259,0,0.018997,0.001525,0,0.014787,0.001711,0,0.020942,0.002361,0,0.024655,0.002641,0,0.029265,0.012988,0,0.0707,0.001249,0,0.015232,0.00516,0,0.041723,0.026911,0,0.109067,0.037901,0,0.130377,0.901376,0.821903,0.963613,0.000869,0,0.009934,0.001655,0,0.020676,0.001285,0,0.01572,0.002027,0,0.022566,0.000341,0,0.004027
